doi,ref_spread,nearest_cited_prior
10.1111/1467-9280.00334,0.68857914,0.37258303
10.1111/1467-9280.00376,0.6121733,0.34410328
10.1111/1467-9280.00431,0.64482826,0.28383255
10.1111/1467-9280.02436,0.62603587,0.2533635
10.1111/1745-9125.12008,0.7311938,0.31491345
10.1111/ajps.12252,0.7694138,0.3953687
10.1111/bjhp.12185,0.68609697,0.36064172
10.1111/cogs.12605,0.66050696,0.38914412
10.1111/flan.12063,0.6820611,0.25250304
10.1111/j.1460-2466.1984.tb02164.x,0.67888707,0.42000604
10.1111/j.1467-7687.2009.00807.x,0.7751162,0.25721258
10.1111/j.1467-7687.2009.00859.x,0.67792195,0.4464357
10.1111/j.1467-8284.2004.00481.x,0.6229935,0.24562418
10.1111/j.1467-8624.2007.00995.x,0.6989792,0.3569994
10.1111/j.1467-8624.2009.01312.x,0.6937579,0.2857778
10.1111/j.1467-9280.2006.01704.x,0.6878551,0.29383522
10.1111/j.1467-9280.2006.01720.x,0.7251127,0.36323774
10.1111/j.1467-9280.2006.01824.x,0.68388474,0.33953035
10.1111/j.1467-9280.2007.01909.x,0.6608229,0.31503022
10.1111/j.1467-9280.2007.01944.x,0.5934855,0.36635172
10.1111/j.1467-9280.2008.02041.x,0.71675783,0.5390196
10.1111/j.1467-9280.2008.02042.x,0.5564014,0.278031
10.1111/j.1467-9280.2008.02043.x,0.60730124,0.29772806
10.1111/j.1467-9280.2008.02044.x,0.58499795,0.3302164
10.1111/j.1467-9280.2008.02045.x,0.69179213,0.36084646
10.1111/j.1467-9280.2008.02046.x,0.517725,0.30996323
10.1111/j.1467-9280.2008.02049.x,0.6867014,0.36134315
10.1111/j.1467-9280.2008.02050.x,0.64774317,0.44290125
10.1111/j.1467-9280.2008.02051.x,0.6553375,0.38034022
10.1111/j.1467-9280.2008.02052.x,0.60881084,0.28227544
10.1111/j.1467-9280.2008.02053.x,0.6460901,0.31076956
10.1111/j.1467-9280.2008.02056.x,0.7840381,0.4037692
10.1111/j.1467-9280.2008.02057.x,0.6398956,0.3747803
10.1111/j.1467-9280.2008.02060.x,0.6635354,0.3290475
10.1111/j.1467-9280.2008.02061.x,0.61341584,0.36246246
10.1111/j.1467-9280.2008.02062.x,0.7129712,0.34452403
10.1111/j.1467-9280.2008.02064.x,0.7104722,0.30181563
10.1111/j.1467-9280.2008.02069.x,0.6305281,0.3834337
10.1111/j.1467-9280.2008.02070.x,0.6237563,0.4414937
10.1111/j.1467-9280.2008.02076.x,0.62659836,0.3863747
10.1111/j.1467-9280.2008.02077.x,0.6661655,0.38004106
10.1111/j.1467-9280.2008.02078.x,0.6710823,0.33690393
10.1111/j.1467-9280.2008.02080.x,0.6306943,0.2208699
10.1111/j.1467-9280.2008.02081.x,0.6949825,0.27983105
10.1111/j.1467-9280.2008.02084.x,0.7504091,0.27531517
10.1111/j.1467-9280.2008.02085.x,0.6181999,0.2765324
10.1111/j.1467-9280.2008.02088.x,0.55266327,0.34089524
10.1111/j.1467-9280.2008.02089.x,0.5549838,0.25864887
10.1111/j.1467-9280.2008.02091.x,0.7170915,0.29472852
10.1111/j.1467-9280.2008.02092.x,0.7358305,0.21718007
10.1111/j.1467-9280.2008.02093.x,0.73414147,0.47516656
10.1111/j.1467-9280.2008.02095.x,0.6843394,0.34540415
10.1111/j.1467-9280.2008.02098.x,0.6475153,0.3610549
10.1111/j.1467-9280.2008.02100.x,0.6442309,0.3019269
10.1111/j.1467-9280.2008.02136.x,0.7488544,0.49614835
10.1111/j.1467-9280.2008.02159.x,0.7343028,0.46445215
10.1111/j.1467-9280.2008.02227.x,0.6403096,0.20686138
10.1111/j.1467-9280.2009.02426.x,0.7432824,0.48711836
10.1111/j.1467-9280.2009.02447.x,0.68645155,0.31286758
10.1111/j.1468-0017.2006.00297.x,0.72964835,0.30096418
10.1111/j.1468-0017.2010.01398.x,0.6303213,0.41414618
10.1111/j.1468-0017.2011.01428.x,0.6644832,0.28932923
10.1111/j.1468-0068.2010.00795.x,0.7180855,0.3267604
10.1111/j.1475-4975.2007.00150.x,0.6826677,0.2937225
10.1111/j.1551-6709.2011.01210.x,0.6174605,0.3423314
10.1111/j.1741-3737.2012.00990.x,0.69540036,0.29021603
10.1111/j.1741-3737.2012.01034.x,0.63527477,0.31574678
10.1111/j.1933-1592.2012.00609.x,0.676351,0.2944982
10.1111/lang.12161,0.62264645,0.26221037
10.1111/nous.12017,0.686749,0.247846
10.1126/science.1091721,0.72704566,0.33066088
10.1126/science.1130726,0.6795477,0.4217704
10.1126/science.1183532,0.74138045,0.44584978
10.1126/science.1186799,0.7138617,0.3810748
10.1126/science.1189993,0.80464697,0.32222867
10.1126/science.1190792,0.6030231,0.31254673
10.1126/science.1191465,0.5044835,0.3426013
10.1126/science.1195701,0.7344464,0.29961586
10.1126/science.1199327,0.6701081,0.33975172
10.1126/science.1199427,0.7252667,0.3970102
10.1126/science.1207745,0.77358466,0.46164012
10.1126/science.1211180,0.60251105,0.49927068
10.1126/science.1215647,0.7486082,0.32538182
10.1126/science.1221936,0.52638173,0.34829468
10.1126/science.1222426,0.80684423,0.49117327
